NAME,PCID,AgencyDesc,AGID,Longitude,Latitude
Fort Bragg,BRG,FORT BRAGG,C,-123.8042,39.44583
Aberdeen,GRH,ABERDEEN,W,-123.815502,46.97550458
Acampo,OCA,ACAMPO,C,-121.2780099,38.17469994
Alameda,ALM,ALAMEDA,C,-122.2766688,37.77624305
Alamo,OSF,ALAMO,C,-122.0035828,37.84977402
Albany,OSF,ALBANY,C,-122.2989858,37.89026304
Alhambra,OLA,ALHAMBRA,C,-118.1345998,34.09155213
Altoona,OCR,ALTOONA,W,-123.6453222,46.2675416
Alviso,OSF,ALVISO,C,-121.9747959,37.42598105
Anacortes,ANA,ANACORTES,W,-122.6364728,48.48795037
Anaheim,OLA,ANAHEIM,C,-117.9194219,33.83426315
Anchor Bay,OMD,ANCHOR BAY,C,-123.5773285,38.80286906
Antioch,OSF,ANTIOCH,C,-121.8055659,37.98094599
Antioch Bridge,OSF,ANTIOCH BRIDGE,C,-121.7515032,38.01930836
Aptos,OCM,APTOS,C,-121.894207,36.99151108
Arbuckle,OCA,ARBUCKLE,C,-122.0612267,39.02029993
Arroyo Grande,OSL,ARROYO GRANDE,C,-120.5819843,35.12209917
Astoria,AST,ASTORIA,O,-123.8130172,46.18585962
Atascadero,OSL,ATASCADERO,C,-120.6837093,35.48300414
Auburn,OCA,AUBURN,C,-121.0764049,38.89298586
Avalon,OLA,AVALON,C,-118.3320769,33.33498723
Avila Beach,AVL,AVILA,C,-120.7327023,35.18212917
Bakersfield,OCA,BAKERSFIELD,C,-119.0188986,35.37340005
Balboa Island,OLA,BALBOA,C,-117.8994559,33.60193618
Bandon,BDN,BANDON,O,-124.4148077,43.11586585
Bay Center,WLB,BAY CENTER,W,-123.9544921,46.63094461
Bay City,GRH,BAY CITY,W,-124.061417,46.86431261
Bayside,OCA,BAYSIDE,C,-124.0640261,40.84252896
Baywood Park,OSL,BAYWOOD PARK,C,-120.8232673,35.32932617
Beaumont,OLA,BEAUMONT,C,-116.96605,33.93253009
Bell Gardens,OLA,BELL GARDENS,C,-118.1516238,33.96548815
Bellingham,BLL,BELLINGHAM BAY,W,-122.4725588,48.75144234
Benicia,OSF,BENICIA,C,-122.1461598,38.07250501
Berkeley,BKL,BERKELEY,C,-122.2683938,37.87218004
Bethel Island,OCA,BETHEL ISLAND,C,-121.6404949,38.02809398
Bieber,OCA,BIEBER,C,-121.1448115,41.12157769
Big Creek,OCM,BIG CREEK,C,-121.5999601,36.07001355
Big sur,OCM,BIG SUR,C,-121.807735,36.26996814
Birds Landing,OSF,BIRDS LANDING,C,-121.8673398,38.13293499
Bishop,OCA,BISHOP,C,-118.3953095,37.36763981
Blaine,BLN,BLAINE,W,-122.7515037,48.99401236
Bloomington,OLA,BLOOMINGTON,C,-117.396386,34.0631921
Bodega Bay,BDG,BODEGA BAY,C,-123.0368996,38.32283806
Bolinas,BOL,BOLINAS,C,-122.6964667,37.90533107
Bonita,OSD,BONITA,C,-117.0420871,32.66306124
Bremerton,OSP,BREMERTON,W,-122.6329211,47.56504242
Brentwood,OSF,BRENTWOOD,C,-121.7177189,37.93254799
Brinnon,OSP,BRINNON,W,-122.899245,47.68048944
Broderick,OCA,BRODERICK,C,-121.517209,38.59110603
Brookfield,OCR,BROOKFIELD,W,-123.5576302,46.27170959
Brookings,BRK,BROOKINGS,O,-124.2905289,42.0585349
